住宅價格季指數類別,期別,季指數,季指數變動率,標準住宅總價,標準住宅單價
大安區,101Q3,102.53,-,2496,78
大安區,101Q4,102.97,0.43%,2507,78.33
大安區,102Q1,105.01,1.98%,2556,79.88
大安區,102Q2,107.54,2.41%,2618,81.81
大安區,102Q3,108.7,1.08%,2646,82.69
大安區,102Q4,110.73,1.87%,2695,84.23
大安區,103Q1,111.22,0.44%,2707,84.6
大安區,103Q2,112.51,1.16%,2739,85.59
大安區,103Q3,114.95,2.17%,2798,87.44
大安區,103Q4,115.62,0.58%,2814,87.95
大安區,104Q1,114.14,-1.28%,2778,86.82
大安區,104Q2,112.36,-1.56%,2735,85.47
大安區,104Q3,109.47,-2.57%,2665,83.27
大安區,104Q4,108.68,-0.72%,2645,82.67
大安區,105Q1,107.49,-1.09%,2616,81.76
大安區,105Q2,107.48,-0.01%,2616,81.76
大安區,105Q3,104.58,-2.70%,2546,79.55
大安區,105Q4,102.58,-1.91%,2497,78.03
大安區,106Q1,101.52,-1.03%,2471,77.23
大安區,106Q2,100.12,-1.38%,2437,76.16
大安區,106Q3,99.59,-0.53%,2424,75.76
大安區,106Q4,100.24,0.65%,2440,76.25
大安區,107Q1,100.71,0.47%,2452,76.61
大安區,107Q2,99.4,-1.30%,2420,75.61
大安區,107Q3,99.11,-0.29%,2413,75.39
大安區,107Q4,98.82,-0.29%,2406,75.17
大安區,108Q1,100.95,2.16%,2457,76.79
大安區,108Q2,101.46,0.51%,2470,77.18
大安區,108Q3,101.61,0.15%,2473,77.29
大安區,108Q4,103.28,1.64%,2514,78.57
大安區,109Q1,102.58,-0.68%,2497,78.03
大安區,109Q2,104.37,1.74%,2540,79.39
大安區,109Q3,106.22,1.77%,2586,80.8
大安區,109Q4,107.31,1.03%,2612,81.63
大安區,110Q1,108.02,0.66%,2629,82.17
大安區,110Q2,108.72,0.65%,2647,82.7
大安區,110Q3,110.14,1.31%,2681,83.78
大安區,110Q4,111.17,0.94%,2680,83.76
信義區,101Q3,97.01,-,1801,60.05
信義區,101Q4,97.08,0.07%,1803,60.09
信義區,102Q1,96.71,-0.38%,1796,59.86
信義區,102Q2,98.75,2.11%,1834,61.12
信義區,102Q3,100.88,2.16%,1873,62.44
信義區,102Q4,103.32,2.42%,1919,63.95
信義區,103Q1,106.27,2.86%,1973,65.78
信義區,103Q2,107.5,1.16%,1996,66.54
信義區,103Q3,106.44,-0.99%,1976,65.88
信義區,103Q4,108.13,1.59%,2008,66.93
信義區,104Q1,107.56,-0.53%,1997,66.57
信義區,104Q2,108.18,0.58%,2009,66.96
信義區,104Q3,105.96,-2.05%,1968,65.59
信義區,104Q4,104.02,-1.83%,1931,64.38
信義區,105Q1,103.5,-0.50%,1922,64.07
信義區,105Q2,103.54,0.04%,1923,64.09
信義區,105Q3,102.25,-1.25%,1899,63.29
信義區,105Q4,102.99,0.72%,1912,63.74
信義區,106Q1,101.05,-1.88%,1876,62.55
信義區,106Q2,99.2,-1.83%,1842,61.4
信義區,106Q3,99.33,0.13%,1845,61.48
信義區,106Q4,97.04,-2.31%,1802,60.06
信義區,107Q1,98.48,1.48%,1829,60.96
信義區,107Q2,99.66,1.20%,1851,61.69
信義區,107Q3,101.7,2.05%,1888,62.95
信義區,107Q4,101.86,0.16%,1891,63.04
信義區,108Q1,100.92,-0.92%,1874,62.47
信義區,108Q2,102.16,1.23%,1897,63.24
信義區,108Q3,100.85,-1.28%,1873,62.42
信義區,108Q4,100.78,-0.07%,1871,62.38
信義區,109Q1,100.15,-0.63%,1860,61.99
信義區,109Q2,101.01,0.86%,1876,62.52
信義區,109Q3,103.03,2%,1913,63.77
信義區,109Q4,104.63,1.55%,1943,64.76
信義區,110Q1,105.56,0.89%,1960,65.34
信義區,110Q2,106.44,0.83%,1977,65.88
信義區,110Q3,107.65,1.14%,1999,66.63
信義區,110Q4,109.45,1.67%,2032,67.74
中正區,101Q3,96.33,-,2105,65.8
中正區,101Q4,96.65,0.33%,2112,66.02
中正區,102Q1,94.61,-2.11%,2068,64.62
中正區,102Q2,96.75,2.26%,2115,66.08
中正區,102Q3,97.32,0.59%,2127,66.47
中正區,102Q4,99.34,2.08%,2171,67.85
中正區,103Q1,101.57,2.24%,2220,69.38
中正區,103Q2,101.25,-0.32%,2213,69.16
中正區,103Q3,99.47,-1.76%,2174,67.94
中正區,103Q4,100.99,1.53%,2207,68.98
中正區,104Q1,101.74,0.74%,2224,69.49
中正區,104Q2,103.18,1.42%,2255,70.48
中正區,104Q3,101.09,-2.03%,2210,69.05
中正區,104Q4,100.74,-0.35%,2202,68.8
中正區,105Q1,99.15,-1.58%,2167,67.72
中正區,105Q2,101.94,2.81%,2228,69.63
中正區,105Q3,99.19,-2.70%,2168,67.75
中正區,105Q4,98.72,-0.47%,2158,67.43
中正區,106Q1,98.68,-0.04%,2139,66.86
中正區,106Q2,100.07,1.41%,2187,68.35
中正區,106Q3,101.14,1.07%,2211,69.08
中正區,106Q4,101.64,0.49%,2221,69.42
